[SYS] 2025/11/17 - 10:13:15 | 未找到 .env 文件，使用默认环境变量，如果需要，请创建 .env 文件并设置相关变量 
[SYS] 2025/11/17 - 10:16:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:16:15 | syncing options from database 
[SYS] 2025/11/17 - 10:16:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:16:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:16:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:16:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:16:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:16:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:17:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:17:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:17:15 | syncing options from database 
[SYS] 2025/11/17 - 10:17:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:17:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:17:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:17:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:17:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:17:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:18:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:18:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:18:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:18:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:18:15 | syncing options from database 
[SYS] 2025/11/17 - 10:18:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:18:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:18:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:18:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:18:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:18:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:19:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:19:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:19:15 | syncing options from database 
[SYS] 2025/11/17 - 10:19:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:19:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:19:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:19:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:19:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:19:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:20:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:20:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:20:15 | syncing options from database 
[SYS] 2025/11/17 - 10:20:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:20:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:20:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:20:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:20:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:20:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:21:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:21:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:21:15 | syncing options from database 
[SYS] 2025/11/17 - 10:21:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:21:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:21:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:21:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:21:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:21:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:22:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:22:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:22:15 | syncing options from database 
[SYS] 2025/11/17 - 10:22:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:22:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:22:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:22:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:22:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:22:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:23:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:23:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:23:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:23:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:23:15 | syncing options from database 
[SYS] 2025/11/17 - 10:23:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:23:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:23:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:23:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:23:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:23:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:24:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:24:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:24:15 | syncing options from database 
[SYS] 2025/11/17 - 10:24:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:24:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:24:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:24:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:24:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:24:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:25:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:25:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:25:15 | syncing options from database 
[SYS] 2025/11/17 - 10:25:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:25:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:25:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:25:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:25:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:25:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:26:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:26:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:26:15 | syncing options from database 
[SYS] 2025/11/17 - 10:26:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:26:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:26:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:26:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:26:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:26:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:27:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:27:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:27:15 | syncing options from database 
[SYS] 2025/11/17 - 10:27:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:27:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:27:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:27:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:27:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:27:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:28:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:28:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:28:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:28:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:28:15 | syncing options from database 
[SYS] 2025/11/17 - 10:28:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:28:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:28:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:28:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:28:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:28:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:29:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:29:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:29:15 | syncing options from database 
[SYS] 2025/11/17 - 10:29:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:29:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:29:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:29:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:29:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:29:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:30:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:30:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:30:15 | syncing options from database 
[SYS] 2025/11/17 - 10:30:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:30:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:30:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:30:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:30:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:30:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:31:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:31:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:31:15 | syncing options from database 
[SYS] 2025/11/17 - 10:31:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:31:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:31:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:31:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:31:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:31:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:32:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:32:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:32:15 | syncing options from database 
[SYS] 2025/11/17 - 10:32:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:32:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:32:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:32:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:32:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:32:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:33:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:33:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:33:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:33:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:33:15 | syncing options from database 
[SYS] 2025/11/17 - 10:33:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:33:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:33:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:33:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:33:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:33:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:34:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:34:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:34:15 | syncing options from database 
[SYS] 2025/11/17 - 10:34:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:34:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:34:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:34:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:34:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:34:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:35:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:35:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:35:15 | syncing options from database 
[SYS] 2025/11/17 - 10:35:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:35:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:35:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:35:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:35:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:35:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:36:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:36:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:36:15 | syncing options from database 
[SYS] 2025/11/17 - 10:36:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:36:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:36:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:36:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:36:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:36:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:37:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:37:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:37:15 | syncing options from database 
[SYS] 2025/11/17 - 10:37:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:37:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:37:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:37:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:37:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:37:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:38:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:38:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:38:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:38:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:38:15 | syncing options from database 
[SYS] 2025/11/17 - 10:38:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:38:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:38:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:38:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:38:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:38:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:39:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:39:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:39:15 | syncing options from database 
[SYS] 2025/11/17 - 10:39:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:39:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:39:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:39:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:39:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:39:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:40:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:40:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:40:15 | syncing options from database 
[SYS] 2025/11/17 - 10:40:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:40:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:40:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:40:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:40:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:40:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:41:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:41:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:41:15 | syncing options from database 
[SYS] 2025/11/17 - 10:41:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:41:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:41:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:41:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:41:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:41:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:42:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:42:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:42:15 | syncing options from database 
[SYS] 2025/11/17 - 10:42:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:42:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:42:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:42:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:42:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:42:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:43:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:43:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:43:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:43:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:43:15 | syncing options from database 
[SYS] 2025/11/17 - 10:43:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:43:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:43:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:43:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:43:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:43:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:44:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:44:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:44:15 | syncing options from database 
[SYS] 2025/11/17 - 10:44:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:44:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:44:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:44:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:44:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:44:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:45:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:45:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:45:15 | syncing options from database 
[SYS] 2025/11/17 - 10:45:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:45:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:45:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:45:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:45:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:45:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:46:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:46:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:46:15 | syncing options from database 
[SYS] 2025/11/17 - 10:46:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:46:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:46:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:46:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:46:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:46:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:47:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:47:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:47:15 | syncing options from database 
[SYS] 2025/11/17 - 10:47:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:47:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:47:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:47:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:47:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:47:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:48:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:48:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:48:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:48:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:48:15 | syncing options from database 
[SYS] 2025/11/17 - 10:48:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:48:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:48:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:48:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:48:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:48:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:49:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:49:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:49:15 | syncing options from database 
[SYS] 2025/11/17 - 10:49:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:49:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:49:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:49:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:49:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:49:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:50:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:50:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:50:15 | syncing options from database 
[SYS] 2025/11/17 - 10:50:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:50:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:50:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:50:30 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:50:45 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:50:45 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:51:00 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:51:00 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:51:15 | syncing options from database 
[SYS] 2025/11/17 - 10:51:15 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:51:15 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:51:30 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:51:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:51:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:51:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:52:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:52:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:52:15 | syncing options from database 
[SYS] 2025/11/17 - 10:52:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:52:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:52:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:52:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:52:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:52:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:53:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:53:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:53:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 10:53:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 10:53:15 | syncing options from database 
[SYS] 2025/11/17 - 10:53:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:53:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:53:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:53:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:53:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:53:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:54:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:54:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:54:15 | syncing options from database 
[SYS] 2025/11/17 - 10:54:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:54:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:54:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:54:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:54:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:54:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:55:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:55:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:55:15 | syncing options from database 
[SYS] 2025/11/17 - 10:55:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:55:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 10:55:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 10:55:31 | 任务进度轮询完成 
