[SYS] 2025/10/16 - 12:25:13 | initializing token encoders 
[SYS] 2025/10/16 - 12:33:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:33:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:34:13 | syncing options from database 
[SYS] 2025/10/16 - 12:34:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:34:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:34:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:34:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:34:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:34:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:34:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:34:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:35:13 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 12:35:13 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/16 - 12:35:13 | syncing options from database 
[SYS] 2025/10/16 - 12:35:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:35:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:35:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:35:28 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:35:43 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:35:43 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:35:58 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:35:58 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:36:13 | syncing options from database 
[SYS] 2025/10/16 - 12:36:13 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:36:13 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:36:28 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:36:28 | 任务进度轮询完成 
