[SYS] 2025/11/11 - 16:41:56 | initializing token encoders 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] Access token 获取成功 (前20字符): czs_qgIIUyRuHnGyCZUh... 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] 准备使用 OAuth token (前20字符): czs_qgIIUyRuHnGyCZUh... 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] 设置 Authorization 头 (前30字符): Bearer czs_qgIIUyRuHnGyCZUhs72... 
[SYS] 2025/11/11 - 16:42:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:42:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:42:38 | DoResponse called with OriginModelName: 7520444303086125096 
[SYS] 2025/11/11 - 16:42:38 | === cozeWorkflowHandler called === 
[SYS] 2025/11/11 - 16:42:38 | Coze工作流响应: {"code":0,"msg":"","data":"{\"data\":\"https://s.coze.cn/t/LkFeJ1m8-uE/\",\"image\":\"\",\"out\":\"咱们在玩石头剪刀布游戏哦，请出剪刀、石头或布啦。\"}","debug_url":"https://www.coze.cn/work_flow?execute_id=7571385417372368938&space_id=7501536526942109731&workflow_id=7520444303086125096&execute_mode=2","usage":{"token_count":653,"output_count":85,"input_count":568},"detail":{"logid":"202511111642201A4C3D804A43A70D7315"}} 
[SYS] 2025/11/11 - 16:42:38 | 解析CozeWorkflowResponse失败: json: cannot unmarshal string into Go struct field CozeWorkflowResponse.data of type []coze.CozeWorkflowDataItem 
[SYS] 2025/11/11 - 16:42:38 | Coze响应中没有usage信息，使用默认Token统计值 
[INFO] 2025/11/11 - 16:42:38 | 20251111164221274792000RHlYc7ys | 预扣费后补扣费：＄0.100000（实际消耗：＄0.100000，预扣费：＄0.000000） 
[INFO] 2025/11/11 - 16:42:38 | 20251111164221274792000RHlYc7ys | record consume log: userId=1, params={"channel_id":7,"prompt_tokens":10,"completion_tokens":20,"model_name":"7520444303086125096","token_name":"1","quota":50000,"content":"","token_id":1,"use_time_seconds":17,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":["7"]},"cache_ratio":1,"cache_tokens":0,"channel_ratio":0.5,"completion_ratio":1,"frt":-1000,"group_ratio":2,"model_price":0.1,"model_ratio":70,"user_group_ratio":-1}} 
[GIN] 2025/11/11 - 16:42:38 | 20251111164221274792000RHlYc7ys | 200 |     17.43724s |             ::1 |    POST /v1/chat/completions
[SYS] 2025/11/11 - 16:42:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:42:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:42:56 | syncing options from database 
[SYS] 2025/11/11 - 16:42:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:42:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:43:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:43:11 | 任务进度轮询完成 
[GIN] 2025/11/11 - 16:43:13 | 20251111164313520852000z7oNWrkk | 200 |    4.306333ms |             ::1 |     GET /api/mj/?p=1&page_size=10&channel_id=&mj_id=&start_timestamp=1760258593000&end_timestamp=1762854193000
[GIN] 2025/11/11 - 16:43:13 | 20251111164313947754000yhF6kGPe | 200 |    1.705167ms |             ::1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1762790400&end_timestamp=1762854193&channel=&group=
[GIN] 2025/11/11 - 16:43:13 | 20251111164313975362000Iy3fATHJ | 200 |     682.542µs |             ::1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1762790400&end_timestamp=1762854193&channel=&group=
[SYS] 2025/11/11 - 16:43:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:43:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:43:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:43:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:43:56 | syncing options from database 
[SYS] 2025/11/11 - 16:43:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:43:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:44:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:44:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:44:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:44:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:44:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:44:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:44:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:44:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:44:56 | syncing options from database 
[SYS] 2025/11/11 - 16:45:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:45:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:45:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:45:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:45:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:45:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:45:56 | syncing options from database 
[SYS] 2025/11/11 - 16:45:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:45:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:46:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:46:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:46:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:46:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:46:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:46:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:46:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 16:46:56 | 保存数据看板数据成功，共保存1条数据 
[SYS] 2025/11/11 - 16:46:56 | syncing options from database 
[SYS] 2025/11/11 - 16:46:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:46:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:47:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:47:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:47:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:47:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:47:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:47:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:47:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:47:56 | syncing options from database 
[SYS] 2025/11/11 - 16:47:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:48:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:48:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:48:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:48:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:48:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:48:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:48:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:48:56 | syncing options from database 
[SYS] 2025/11/11 - 16:48:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:49:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:49:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:49:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:49:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:49:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:49:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:49:56 | syncing options from database 
[SYS] 2025/11/11 - 16:49:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:49:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:50:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:50:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:50:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:50:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:50:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:50:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:50:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:50:56 | syncing options from database 
[SYS] 2025/11/11 - 16:50:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:51:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:51:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:51:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:51:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:51:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:51:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:51:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 16:51:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 16:51:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:51:56 | syncing options from database 
[SYS] 2025/11/11 - 16:51:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:52:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:52:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:52:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:52:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:52:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:52:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:52:56 | syncing options from database 
[SYS] 2025/11/11 - 16:52:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:52:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:53:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:53:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:53:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:53:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:53:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:53:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:53:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:53:56 | syncing options from database 
[SYS] 2025/11/11 - 16:53:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:54:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:54:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:54:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:54:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:54:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:54:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:54:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:54:56 | syncing options from database 
[SYS] 2025/11/11 - 16:54:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:55:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:55:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:55:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:55:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:55:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:55:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:55:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:55:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:55:56 | syncing options from database 
[SYS] 2025/11/11 - 16:56:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:56:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:56:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:56:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:56:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:56:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:56:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 16:56:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 16:56:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:56:56 | syncing options from database 
[SYS] 2025/11/11 - 16:56:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:57:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:57:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:57:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:57:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:57:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:57:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:57:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:57:56 | syncing options from database 
[SYS] 2025/11/11 - 16:57:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:58:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:58:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:58:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:58:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:58:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:58:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:58:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:58:56 | syncing options from database 
[SYS] 2025/11/11 - 16:58:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:59:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:59:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:59:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:59:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:59:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:59:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:59:56 | syncing options from database 
[SYS] 2025/11/11 - 16:59:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:59:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:00:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:00:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:00:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:00:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:00:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:00:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:00:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:00:56 | syncing options from database 
[SYS] 2025/11/11 - 17:00:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:01:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:01:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:01:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:01:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:01:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:01:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:01:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 17:01:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 17:01:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:01:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:01:57 | syncing options from database 
[SYS] 2025/11/11 - 17:02:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:02:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:02:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:02:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:02:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:02:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:02:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:02:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:02:57 | syncing options from database 
[SYS] 2025/11/11 - 17:03:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:03:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:03:26 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:03:26 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:03:41 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:03:41 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:03:56 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:03:56 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:03:57 | syncing options from database 
[SYS] 2025/11/11 - 17:04:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:04:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:04:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:04:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:04:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:04:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:04:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:04:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:04:57 | syncing options from database 
[SYS] 2025/11/11 - 17:05:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:05:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:05:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:05:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:05:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:05:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:05:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:05:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:05:57 | syncing options from database 
[SYS] 2025/11/11 - 17:06:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:06:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:06:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:06:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:06:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:06:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:06:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 17:06:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 17:06:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:06:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:06:57 | syncing options from database 
[SYS] 2025/11/11 - 17:07:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:07:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:07:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:07:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:07:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:07:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:07:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:07:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:07:57 | syncing options from database 
[SYS] 2025/11/11 - 17:08:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:08:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:08:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:08:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:08:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:08:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:08:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:08:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:08:57 | syncing options from database 
[SYS] 2025/11/11 - 17:09:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:09:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:09:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:09:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:09:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:09:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:09:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:09:57 | syncing options from database 
[SYS] 2025/11/11 - 17:09:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:10:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:10:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:10:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:10:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:10:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:10:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:10:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:10:57 | syncing options from database 
[SYS] 2025/11/11 - 17:10:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:11:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:11:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:11:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:11:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:11:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:11:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:11:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 17:11:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 17:11:57 | syncing options from database 
[SYS] 2025/11/11 - 17:11:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:11:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:12:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:12:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:12:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:12:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:12:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:12:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:12:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:12:57 | syncing options from database 
[SYS] 2025/11/11 - 17:12:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:13:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:13:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:13:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:13:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:13:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:13:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:13:57 | syncing options from database 
[SYS] 2025/11/11 - 17:13:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:13:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:14:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:14:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:14:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:14:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:14:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:14:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:14:57 | syncing options from database 
[SYS] 2025/11/11 - 17:14:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:14:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:15:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:15:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:15:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:15:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:15:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:15:42 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:15:57 | syncing options from database 
[SYS] 2025/11/11 - 17:15:57 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:15:57 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:16:12 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:16:12 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:16:27 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:16:27 | 任务进度轮询完成 
[SYS] 2025/11/11 - 17:16:42 | 任务进度轮询开始 
[SYS] 2025/11/11 - 17:16:42 | 任务进度轮询完成 
